Name,Date,Location,Type,Region,Latitude,Longitude,Weather Code,Max Temperature,Min Temperature,Weather Forecast
Seattle Kraken vs. Montreal Canadiens,3/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.051021575927734375, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Marcus Miller,3/21/2024 through 3/24/2024, Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,1,6.3,-1.4,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06091594696044922, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 32.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.4]}}"
Honoring Our Journey,Ongoing, Wing Luke Museum,Museums,International District,47.5982461,-122.3228705,0,6.4,-1.2,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06198883056640625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 33.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.4], 'temperature_2m_min': [-1.2]}}"
BAS,3/17/2024, Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,1,5.9,-1.8,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06604194641113281, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 95.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [5.9], 'temperature_2m_min': [-1.8]}}"
Window on Washington Waters,Ongoing, Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,1,6.5,-1.2,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07402896881103516, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 3.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.2]}}"
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing, Wing Luke Museum,Museums,International District,47.5982461,-122.3228705,0,6.4,-1.2,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.07092952728271484, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 33.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.4], 'temperature_2m_min': [-1.2]}}"
MitiS,3/15/2024, Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,0,6.6,-1.0,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06198883056640625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.6], 'temperature_2m_min': [-1.0]}}"
Michael Blaustein,3/30/2024, The Neptune Theatre,Theatre,University District,,,,,,
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.048041343688964844, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Caetano Veloso,3/27/2024, The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,3,7.2,4.1,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.06794929504394531, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [7.2], 'temperature_2m_min': [4.1]}}"
Taste Washington: The Grand Tasting,3/16/2024 through 3/17/2024, Lumen Field,Festivals & Special Events,Pioneer Square,47.5953459,-122.33164431196111,0,6.6,-1.0,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06902217864990234, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 11.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.6], 'temperature_2m_min': [-1.0]}}"
Nobody Lives Here,Now through 3/17/2024, Wing Luke Museum,Museums,International District,47.5982461,-122.3228705,0,6.4,-1.2,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.07092952728271484, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 33.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.4], 'temperature_2m_min': [-1.2]}}"
God’s Child,3/29/2024, The Neptune Theatre,Theatre,University District,,,,,,
Joey Harkum,4/2/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,3,14.1,-0.3,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.0768899917602539, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [14.1], 'temperature_2m_min': [-0.3]}}"
Apollo,Ongoing, The Museum of Flight,Museums,South Seattle,32.70030575,-94.94716355,45,27.3,13.3,"{'latitude': 32.70374, 'longitude': -94.953735, 'generationtime_ms': 0.07390975952148438, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 123.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [45], 'temperature_2m_max': [27.3], 'temperature_2m_min': [13.3]}}"
El Perro del Mar,3/19/2024, Barboza,Music,Capitol Hill / Central District,-13.248885,-41.0275842,45,30.1,21.9,"{'latitude': -13.25, 'longitude': -41.0, 'generationtime_ms': 0.02300739288330078, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 495.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [45], 'temperature_2m_max': [30.1], 'temperature_2m_min': [21.9]}}"
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,1,6.0,-2.2,"{'latitude': 47.628304, 'longitude': -122.29689, 'generationtime_ms': 0.05602836608886719, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 137.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.0], 'temperature_2m_min': [-2.2]}}"
Underwater Dome,Ongoing, Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,1,6.5,-1.2,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07200241088867188, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 3.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.2]}}"
Dragontail Peak,3/19/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,3,14.1,-0.3,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.05507469177246094, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [14.1], 'temperature_2m_min': [-0.3]}}"
Mahan Esfahan,3/9/2024, Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05996227264404297, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Rick Estrin and The Nightcats,3/7/2024, The Triple Door,Music,Downtown,47.6086439,-122.337685,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04792213439941406, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Special EFX All Stars,3/12/2024, The Triple Door,Music,Downtown,47.6086439,-122.337685,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06401538848876953, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Jimbo’s Drag Circus,4/2/2024, The Neptune Theatre,Theatre,University District,,,,,,
Seattle Kraken vs. Washington Capitals,3/14/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06401538848876953, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Josh Wolf,3/8/2024, The Neptune Theatre,Theatre,University District,,,,,,
Andre Nikatina,3/28/2024, Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,1,6.3,-1.2,"{'latitude': 47.646866, 'longitude': -122.345505, 'generationtime_ms': 0.051021575927734375, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 18.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.2]}}"
Jake Shimabukuro,4/2/2024 through 4/3/2024, Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,1,6.3,-1.4,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06496906280517578, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 32.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.4]}}"
The Paper Kites,3/9/2024, The Neptune Theatre,Music,University District,,,,,,
Short Stories Live: Through Someone Else’s Eyes,3/10/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04792213439941406, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Pacific Species,Ongoing, Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07402896881103516, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Art Walk Edmonds | Every Third Thursday,Ongoing, Cascadia Art Museum,Visual Arts & Galleries,North,47.8104565,-122.3839448,3,6.4,0.4,"{'latitude': 47.80787, 'longitude': -122.37073, 'generationtime_ms': 0.0749826431274414, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [6.4], 'temperature_2m_min': [0.4]}}"
Shain Shapiro with Greg Scruggs: How Music Builds Cities,3/24/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05805492401123047, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Juliet Hooker with Megan Ming Francis: The Politics of Loss,3/25/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05996227264404297, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Crosses,3/11/2024, The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,3,7.2,4.1,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.0699758529663086, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [7.2], 'temperature_2m_min': [4.1]}}"
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024, Wing Luke Museum,Museums,International District,47.5982461,-122.3228705,0,6.4,-1.2,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06902217864990234, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 33.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.4], 'temperature_2m_min': [-1.2]}}"
Umphrey’s McGee,3/17/2024, The Showbox,Music,Downtown,47.6085136,-122.3394726,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04303455352783203, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Cody Bartels,3/13/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,3,14.1,-0.3,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.05507469177246094, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [14.1], 'temperature_2m_min': [-0.3]}}"
Jimmy Chamberlin Complex,3/18/2024, Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,1,5.9,-1.8,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.049948692321777344, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 95.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [5.9], 'temperature_2m_min': [-1.8]}}"
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04792213439941406, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Earshot Golden Ear Awards Party: Jun Iida,3/11/2024, The Royal Room,Music,South Seattle,32.2275723,-110.9685178,3,24.1,8.6,"{'latitude': 32.223236, 'longitude': -110.9651, 'generationtime_ms': 0.04398822784423828, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 725.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [24.1], 'temperature_2m_min': [8.6]}}"
Warren Zeiders,3/16/2024, Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,0,6.6,-1.0,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.0699758529663086, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.6], 'temperature_2m_min': [-1.0]}}"
Copland Appalachian Spring,4/4/2024 through 4/6/2024, Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.055909156799316406, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Shine On Seattle,Now through 3/31/2024, Pioneer Square,Festivals & Special Events,Pioneer Square,45.5189007,-122.67929660431365,3,7.5,0.3,"{'latitude': 45.528744, 'longitude': -122.69624, 'generationtime_ms': 0.04696846008300781, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 29.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [7.5], 'temperature_2m_min': [0.3]}}"
Emily Calandrelli: Unleash Your Inner Scientist,3/9/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.048041343688964844, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Tropical Pacific,Ongoing, Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,1,6.5,-1.2,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.048995018005371094, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 3.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.2]}}"
Danny Brown,3/30/2024, The Showbox,Music,Downtown,47.6085136,-122.3394726,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07009506225585938, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Jazz Underground,3/27/2024, The Royal Room,Music,South Seattle,32.2275723,-110.9685178,3,24.1,8.6,"{'latitude': 32.223236, 'longitude': -110.9651, 'generationtime_ms': 0.07009506225585938, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 725.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [24.1], 'temperature_2m_min': [8.6]}}"
Be/longing: Contemporary Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,1,6.0,-2.2,"{'latitude': 47.628304, 'longitude': -122.29689, 'generationtime_ms': 0.048995018005371094, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 137.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.0], 'temperature_2m_min': [-2.2]}}"
Aan,4/4/2024, Sunset Tavern,Music,Fremont / Ballard,36.0254577,-114.9637699,0,21.8,9.7,"{'latitude': 36.026024, 'longitude': -114.974945, 'generationtime_ms': 0.06592273712158203, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 615.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [21.8], 'temperature_2m_min': [9.7]}}"
Shawn Phillips,3/6/2024, The Triple Door,Music,Downtown,47.6086439,-122.337685,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07104873657226562, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Deseo Carmin,3/10/2024, Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,1,5.9,-1.7,"{'latitude': 47.646866, 'longitude': -122.345505, 'generationtime_ms': 0.05805492401123047, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 86.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [5.9], 'temperature_2m_min': [-1.7]}}"
